Top Depth (m),Type,Mean Ro (%),Min Ro (%),Max Ro (%),Std Dev.,n
3030,Ctgs,0.46,0.37,0.61,0.053,25
3334.7,SWC,0.52,0.4,0.64,0.054,25
3405,Ctgs,0.53,0.43,0.65,0.049,25
3483,SWC,0.53,0.42,0.6,0.046,25
3630,Ctgs,0.56,0.43,0.7,0.063,25
3709,SWC,0.68,0.59,0.76,0.039,25
3805,Ctgs,0.63,0.54,0.76,0.049,25
3882,SWC,0.68,0.55,0.74,0.047,25
3980,Ctgs,0.68,0.55,0.8,0.055,25
4138,SWC,0.68,0.6,0.78,0.041,25
4235,Ctgs,0.71,0.59,0.86,0.056,25
4350.8,SWC,0.72,0.7,0.73,0.015,2
4450,Ctgs,0.74,0.61,0.87,0.062,25
4549.5,SWC,0.71,0.61,0.81,0.052,13
4575,Ctgs,0.76,0.62,0.92,0.071,25